Client Number,Name,Birthdate,Income,Credit,Car Owner,House Owner
13207,Harris,05/18/1967,53500,39000,No,Yes
13221,White,11/14/1984,34000,27800,No,Yes
13222,Hall,05/18/1967,29600,39000,No,Yes
13244,George,02/10/1981,29600,22200,No,No
13244,George,09/12/1969,53500,48900,No,Yes
13245,Williams,03/28/1969,52000,36400,Yes,Yes
13262,Lewis,06/21/1974,27250,19100,Yes,No
13262,Lewis,09/12/1969,61200,48900,No,Yes
13271,Jones,10/20/1971,36000,26600,Yes,No
13281,Brown,02/10/1981,53500,22200,Yes,No
13288,Smith,04/13/1976,18500,17800,No,Yes
13288,Smith,07/23/1977,48340,38200,Yes,No
13297,Davis,08/30/1982,21450,16500,No,No
40110,Timothy,04/18/1974,100,50000,Yes,No
40210,Steven,06/01/1986,83465,30500,No,Yes
40510,Johnson,03/18/1967,18500,17800,No,No
40610,Smith,05/10/1977,10000,13000,Yes,Yes
40710,Ferari,10/18/1963,27085,7200,Yes,No
40810,Jane,04/13/1976,1000,2000,Yes,Yes
40910,Emrial,03/19/1990,10000,1000,Yes,No
41010,Ingrid,12/04/1969,24956,1903,Yes,No
41210,Gabreal,05/06/1970,82637,17000,No,No
41310,Mikey,06/18/1982,62543,93456,Yes,Yes
41510,Shaheen,01/29/2015,45933,7614,Yes,No
50002,Gregory,06/07/1989,33000,10000,Yes,No
50003,Johnson,01/02/1960,10000,2000,No,No
50004,Belle,06/08/1968,68000,8000,Yes,Yes
50005,Ginny,01/19/2019,5000,4000,No,Yes
50007,Isac,04/18/1992,12000,10000,Yes,Yes
50009,Lord Azazel III,06/06/1966,66666,666,No,Yes
50010,Cricket,01/02/1974,90000,50000,Yes,Yes
50011,Guppy,02/03/1983,75000,33333,Yes,No
50012,Soda,01/09/1974,32000,15000,Yes,No
50013,Raisin,12/25/1960,55000,25000,Yes,Yes
61234,Reed,06/21/1974,27250,19100,Yes,No
62189,Young,07/23/1977,48340,38200,Yes,No
63562,Moseley,11/14/1984,34000,27800,No,Yes
64231,Turi,08/30/1982,21450,16500,No,No
64321,Klipp,03/28/1969,52000,36400,Yes,Yes
67362,Hatfield,09/12/1969,61200,48900,Yes,Yes
68635,Wolfe,05/18/1967,53500,39000,No,Yes
69234,Prior,02/10/1981,29600,22200,No,No
70062,Wilson,07/30/1993,27500,22500,No,No
70062,Kazmier,07/25/1994,37500,32500,Yes,No
70062,Long,05/06/2000,37500,32500,Yes,No
70064,Pekas,05/06/1994,14500,9500,No,No
70064,Behrman,04/03/2004,15000,10000,No,No
70066,Hogue,11/11/1993,30000,25000,No,No
70066,Huffman,05/20/2000,130000,60000,Yes,Yes
70067,Cundiff,12/03/1999,45000,40000,Yes,Yes
70068,Mattox,03/07/2000,37500,32500,Yes,No
70075,Moulard,02/28/2000,120000,100000,Yes,Yes
70102,Katapodis,03/17/2000,37500,32500,Yes,No
70102,Weyers,05/09/2000,37500,32500,No,No
70144,Wheeler,07/09/1993,30000,25000,No,No
70189,Plant,11/12/2007,27500,22500,Yes,No
70328,Williams,02/26/2009,30000,25000,Yes,No
,, ,,,,
,, ,,,,
,, ,,,,
,, ,,,,
