Client Number,Name,Address,Date of Purchase,Magazine Type
,,,,
64321,Klipp,621 Indian Springs Road,6/14/97,House
61234,Reed,678 Rockys Ave,7/3/93,Car
64231,Turi,632 Lion Stream Way,11/14/00,Sports
63562,Moseley,617 Foxtrot St. ,1/30/98,Music
63562,Mosley,617 Foxtrot Street,11-11-1111,Comic
62189,Young,68 Piney Branch Cir.,12/13/02,Car
69234,Prior,643 Draftly Court,9/10/05,Sports
68635,Wolf,659 Orchard Grove St.,2/14/03,House
64321,Klip,621 Indian Springs Rd.,6/14/97,Comic
67362,Hartfield,602 Putman Road,3/12/01,Music
64231,Turri,632 Lion Stream Way,12/3/02,Car
68635,Wolfe,659 Orchard Grove St.,7/12/98,Comic
61234,Reed,678 Rockys Ave,11-11-1111,Car
67362,Hatfield,602 Putman Road,5/12/00,Cars
62209,Young,68 Piney Branch Cir.,4/28/03,House
,,,,
13288,Smith,14 Stewart St.,7/14/00,Car
13271,Jones,210 Southwest Ave.,3/22/99,House
13245,Williams,48 Birch Dr.,10/7/99,Music
13262,Lewis,11 Collins Rd.,6/28/99,Sports
13297,Davis,2922 Bellview Way,3/22/00,Comic
13221,White,417 Willers Way,1/19/00,Comic
13288,Smith,14 Stewart St.,9/14/00,Sports
13244,George,11 Palm St.,5/1/99,Car
13207,Harris,97 Corrien Dr.,2/27/00,Music
13262,Lewis,11 Collins Rd.,3/15/00,House
13281,Brown,473 Dawning Way,4/21/99,Sports
13222,Hall,5910 Stockton St.,12/12/99,Music
13244,George,11 Palm St.,5/1/00,Comic
,,,,
,,,,
40110,Timothy,PO Box 2901,4/14/94,Car
40210,Steven,16 Winder Lp,12/31/00,House
40310,Tim,PO Box 2901,6/3/10,Comic
40410,Steve,16 Winder Lp,17/14/1999,Sports
40510,Johnson,1 Downing St.,4/15/99,Tech
40610,Smith,803 Woods Cir,2/16/99,Sports
40710,Ferari,90 Mking Ave,9/17/99,House
40810,Jane,1 Foxlink Rd,7/18/99,Sports
40910,Emrial,34 Hanuma St,00/00/0000,Music
41010,Ingrid,2 Boult Cir,00/00/0000,Comic
41210,Gabreal,13 Golden Rd,00/00/0000,Sports
41310,Mikey,7 Simthonian St,00/00/0000,Comic
41410,Janne,1 Foxlink Rd,00/00/0000,House
41510,Shaheen,PO Box 781029,1/29/15,Tech
,,,,
50000,Greg,714 Trail Tr.,7/19/02,Sports
50000,Greg,714 Trail Tr.,9/1/02,Car
50001,Greg,714 Trail Tr.,11-11-1111,Music
50002,Gregory,714 Trail Tr.,10/9/03,House
50004,Belle,68 False St.,11-11-1111,Sports
50005,Ginny,19 Isle Dr.,9/9/99,Music
50006,Isaac,300 Nowhere,11/20/99,Comic
50007,Isac,300 Nowhere,12/25/99,Houses
50008,Lord Azazel III,666 Hate Pl.,6/6/06,Cars
50009,Lord Azazel III,666 Hate Place,6/6/07,Music
50010,Cricket,300 Nowhere,4/6/02,House
50011,Guppy,300 Nowhere,10/10/10,Music
50012,Soda,1974 Lane Dr.,4/10/00,Comic
50013,Raisin,1975 Lane Dr.,4/15/00,Comics
