Client Number,Name,Address,Date of Purchase,Magazine Type
83003,Johnson,1 Downing St.,04-15-1999,Car
83009,Clint,2 Boulevarde,11-11-1111,Comic
83010,Artemis,10 Olympus,01-11-2001,Comic
83011,Osbourne,14 Ventura Blvd,03-20-2002,Music
83012,Gordon,16 Nascar Drive,05-11-2003,Car
83111,Lincoln,1600 Pennsylvania Avenue,03-04-2001,Car
83111,Lincoln,1600 Pennsylvania Avenue,03-04-2001,Car
89900,Banzinar,323 LaRua St,02-28-2003,House
89009,Banznar,323 LaRua St,02-28-2003,Music
89111,Flit,10 Cervantes St,05-11-2003,House
89222,Tuna,12 Underda C,02-15-1999,Comic
89332,Robin,14 Strawhat Rd,11-11-1111,Comic
87500,Treble,2442 Deton Ct,07-21-2002,Comic
87554,Trebel,2442 Deton Ct,10-15-2002,House
87575,Bass,4716 Mringa Dr,11-11-1111,House
87658,Wilson,74 Longwood Rd,03-04-2002,Music
87778,Delson,885 Tripton Lane,06-14-2002,Music
